"{""en"": ""<p>&nbsp; &nbsp; First of all, carefully and slowly explore the project without disregarding - view the videos, even if you have already seen them once in the light of this project, so that you will be able to see them from a completely different angle, do not get hung up and do not put them aside, in case you do not agree with any item, thus, they do contain many contradictions and errors, though, try to consider only useful information;</p>"", ""ru"": ""<p>&nbsp; &nbsp; В первую очередь внимательно и не спеша изучите проект, не пренебрегайте просмотром видеоматериалов. Даже если Вы их уже когда-то видели, в свете этого проекта Вы сможете посмотреть на них совершенно с другого ракурса. Не зацикливайтесь и не отбрасывайте их по той причине, что Вы с чем-то не согласны (в них действительно много противоречий и заблуждений), постарайтесь взять из них только полезную информацию;</p>""}",9,0,1
"{""en"": ""<p>&nbsp; &nbsp; Try to understand the technology, on which the project is based. Read the answers to frequently asked questions and learn the plan of action. To conclude how correctly you understand it, open the page to view the objectives, which the Enebra project aims to address and try to find an answer for each item. Perhaps, in the course of these answers you will find a more efficient way to achieve a particular purpose, and thereby, be able to improve and add your personal contribution to the project;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Разберитесь с технологиями, на которых основан проект. Прочтите ответы на часто задаваемые вопросы и изучите план действий. Чтобы понять, насколько правильно Вы его поняли, откройте страницу, где указаны цели, которые призван решить проект &laquo;Энебра&raquo;, и постарайтесь самостоятельно ответить на каждый пункт. Возможно, в процессе этих ответов Вы найдете более рациональный способ достижения той или иной цели и сможете тем самым улучшить и дополнить сам проект;</p>""}",9,0,2
"{""en"": ""<p>&nbsp; &nbsp; Discuss the project with your family or friends. Analyze your experience and the knowledge base collected during the lifetime. Do not try to provide answers to the questions that you do not understand, focus on completely clear and simple issues, for what is simple and understandable for you that can be a difficult and impossible task for the other people;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Обсудите проект в кругу своей семьи или с друзьями. Проанализируйте Ваш жизненный опыт и тот багаж знаний, который Вы смогли собрать за время своей жизни. Не старайтесь самостоятельно дать ответы на вопросы, в которых Вы не разбираетесь, сконцентрируйтесь на полностью понятных и простых для Вас истинах, ведь то, что для Вас является простым и понятным, для других людей может являться сложной и неразрешимой задачей;</p>""}",9,0,3
"{""en"": ""<p>&nbsp; &nbsp; Feel free to create new industries, sub-sectors and affiliations, if you do not find them on the site, to write your own methods of solving various problems, in case you may think it clear to everyone, but no man on the planet does have the same knowledge and experience. You may notice the fact that no one can vote against anything on the site; you can support someone else&#39;s point of view, supplement it, or write your own and prove it better than the existing one. This is done to work together more effectively;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Не стесняйтесь создавать новые отрасли, подотрасли и специализации, если Вы их не обнаружили на сайте, писать свои методы решения тех или иных задач, думая, что это и так всем понятно - ведь ни один человек на планете не имеет такого же комплекса знаний и жизненного опыта, как Ваш. Если Вы заметили, на сайте нельзя голосовать против чего либо, можно поддержать чью-то точку зрения, дополнить её, либо написать свою и обосновать, чем она лучше существующей. Это сделано для более эффективной совместной работы;</p>""}",9,0,4
"{""en"": ""<p>&nbsp; &nbsp; From birth we are imposed by the idea of patriotism, which indicates that our country is the best; try to leave these ideas behind and consider that the entire Earth is our common home and you are the president, the judge and the citizen with full rights, and you bear a responsibility of making decisions in concern with living people, your children and future generations. After hundreds and thousands of years, your descendants from the blockchain will be able to view and assess every word you wrote, decision you made;</p>"", ""ru"": ""<p>&nbsp; &nbsp; С рождения нам навязывается идея патриотизма, которая говорит о том, что наша страна самая лучшая. Постарайтесь оставить эти идеи за дверями проекта и понять, что вся планета Земля - наш общий дом, а Вы - президент, судья и полноправный гражданин в одном лице, и что вся ответственность за принятие решений перед ныне живущими людьми, вашими детьми и будущими поколениями лежит на ваших плечах. Через сотни и тысячи лет ваши потомки, используя blockchain, смогут просмотреть и оценить каждое написанное Вами слово, каждое принятое Вами решение;</p>""}",9,0,5
"{""en"": ""<p>&nbsp; &nbsp; The most difficult thing is the ability to not only concisely and concretely propose a plan of action, but also the ability to listen, analyze and make the proposed solutions of other project participants. We have to learn the skill to agree and to respect each other, because the project is intended to bring together all the people on the planet - this is a very difficult task, which our government is not able to solve due to the selfish lust for power, and if you get it, any dream come true;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Самое сложное - это умение не только лаконично и конкретно предложить свой план действий, но и уметь слушать, анализировать и принимать предложенные решения других участников проекта. Нам предстоит научиться искусству договариваться и уважать друг друга, ведь проект призван объединить всех людей на Земле. Это очень непростая задача, её не смогли решить наши правительства по причине корыстной жажды власти. И когда у Вас это получится, то любые мечты воплотятся в реальность;</p>""}",9,0,6
"{""en"": ""<p>&nbsp; &nbsp; Get rid of the imposed world stereotypes of good and bad countries, learn to put apart governments and the ordinary people - citizens of this country; the ordinary people in any country are the same as you, - they do not start wars, do not create economic crises or make a dump site out of their home country; they do not exploit natural resources and consequently stay under the influence of the imposed propaganda and forced to choose their government from the meager list, made up by the same government or the owners of the major corporations, so that like you, all they want is peace, happiness and prosperity for their children. Accept equality of any person, notwithstanding his sex, age, race, color, religion, social status and level of education. In this project, there are no leaders, I am only the author, who showed the possibility of the vector, by which humanity can go, and it is our common task to build this system;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Избавьтесь от навязанных Вам стереотипов. В мире нет плохих и хороших стран. Научитесь разделять правительства этих стран и обычных людей - граждан этой страны. Обычные люди в любой стране точно такие же, как и Вы, они не развязывают воин, не создают экономических кризисов, не устраивают свалку из вашей страны, не эксплуатируют ваши природные ресурсы. Они, как и Вы, находятся под влиянием навязанной им пропаганды, вынуждены выбирать свои правительства из того скудного списка, который им приготовило их же правительство или владельцы крупных корпораций. Они, как и Вы, хотят мира, счастья своих детей и процветания. Примите равенство любого человека в независимости от пола, возраста, расы, цвета кожи, вероисповедания, социального положения и уровня образования. В этом проекте нет лидеров, я - всего лишь автор, показавший возможный вектор, по которому может пойти человечество, а строить эту систему всем нам вместе;</p>""}",9,0,7
"{""en"": ""<p>&nbsp; &nbsp; The site does not need to describe your academic titles in order to suppress the opinions of others by your authority; earn your credibility by joint or personal development, with the basic indicators of your credibility is your ranking and the number of people, using your innovation;</p>"", ""ru"": ""<p>&nbsp; &nbsp; На сайте не нужно описывать ваши научные титулы, дабы подавлять чужое мнение своим авторитетом. Зарабатывайте свой авторитет совместными или личными разработками. Основным показателем вашего авторитета является ваш рейтинг и количество людей, улучшивших качество своей жизни благодаря использованию ваших инноваций;</p>""}",9,0,8
"{""en"": ""<p>&nbsp; &nbsp; Try to describe your suggestions in a simple, concise and specific way, avoid the words that do not carry semantic values - respect the time of other participants of the project, check your text for grammatical and syntactical errors, and do not use transliteration &ndash; there is an online opportunity of the automatic translation for the project participants so that they can fully understand your suggestions and thoughts on the language understandable to them;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Старайтесь описывать ваши предложения как можно более просто, сжато и конкретно, избегайте слов не несущих в себе смыслового значения. Уважайте время других участников проекта, проверяйте написанный вами текст на предмет грамматических и синтаксических ошибок и не пользуйтесь транслитом. На сайте используется возможность автоматического перевода, чтобы участники проекта из других стран могли полноценно понять ваши предложения и мысли на понятном им языке;</p>""}",9,0,9
"{""en"": ""<p>&nbsp; &nbsp; If you have a practical knowledge of a foreign language &ndash; you can help to translate the site into the language known by you; for this you can use a special <a href=\""https://drive.google.com/drive/u/0/folders/0Bw0lBGLqc4N4dm40VGZCTjVRYkk?ogsrc=32\"" target=\""_blank\"">pattern</a>, and if the site has been already translated into this language, help to improve the quality of the translation. It is very important for people to understand the essence and content of the project as precisely as possible;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Если у Вас есть практические знания иностранного языка &ndash; помогите перевести сайт на известный Вам язык. Для этого Вы можете воспользоваться специальным <a href=\""https://drive.google.com/drive/u/0/folders/0Bw0lBGLqc4N4dm40VGZCTjVRYkk?ogsrc=32\"" target=\""_blank\"">шаблоном</a>, а если сайт уже переведен на этот язык - помогите улучшить качество этого перевода. Очень важно, чтобы люди как можно точнее поняли его суть и содержание;</p>""}",9,1,1
